uuid,display_id,ad_id,document_id,timestamp_view,platform,geo_location,clicked,day
cb8c55702adb93,1,42337,379743,2016-06-14 04:06:19.061,3.0,US>SC>519,0,14
cb8c55702adb93,1,279295,379743,2016-06-14 04:06:19.061,3.0,US>SC>519,0,14
cb8c55702adb93,1,156824,379743,2016-06-14 04:06:19.061,3.0,US>SC>519,0,14
cb8c55702adb93,1,144739,379743,2016-06-14 04:06:19.061,3.0,US>SC>519,1,14
cb8c55702adb93,1,296965,379743,2016-06-14 04:06:19.061,3.0,US>SC>519,0,14
cb8c55702adb93,1,139684,379743,2016-06-14 04:06:19.061,3.0,US>SC>519,0,14
79a85fa78311b9,2,308455,1794259,2016-06-14 04:06:19.081,2.0,US>CA>807,1,14
79a85fa78311b9,2,125211,1794259,2016-06-14 04:06:19.081,2.0,US>CA>807,0,14
79a85fa78311b9,2,169564,1794259,2016-06-14 04:06:19.081,2.0,US>CA>807,0,14
79a85fa78311b9,2,156535,1794259,2016-06-14 04:06:19.081,2.0,US>CA>807,0,14
822932ce3d8757,3,250082,1179111,2016-06-14 04:06:19.182,2.0,US>MI>505,0,14
822932ce3d8757,3,228657,1179111,2016-06-14 04:06:19.182,2.0,US>MI>505,1,14
822932ce3d8757,3,95814,1179111,2016-06-14 04:06:19.182,2.0,US>MI>505,0,14
822932ce3d8757,3,71547,1179111,2016-06-14 04:06:19.182,2.0,US>MI>505,0,14
822932ce3d8757,3,152141,1179111,2016-06-14 04:06:19.182,2.0,US>MI>505,0,14
822932ce3d8757,3,183846,1179111,2016-06-14 04:06:19.182,2.0,US>MI>505,0,14
85281d0a49f7ac,4,184709,1777797,2016-06-14 04:06:19.234,2.0,US>WV>564,0,14
85281d0a49f7ac,4,153623,1777797,2016-06-14 04:06:19.234,2.0,US>WV>564,1,14
85281d0a49f7ac,4,149930,1777797,2016-06-14 04:06:19.234,2.0,US>WV>564,0,14
85281d0a49f7ac,4,233730,1777797,2016-06-14 04:06:19.234,2.0,US>WV>564,0,14
85281d0a49f7ac,4,186849,1777797,2016-06-14 04:06:19.234,2.0,US>WV>564,0,14
8d0daef4bf5b56,5,184548,252458,2016-06-14 04:06:19.338,2.0,SG>00,0,14
8d0daef4bf5b56,5,326514,252458,2016-06-14 04:06:19.338,2.0,SG>00,1,14
8d0daef4bf5b56,5,162868,252458,2016-06-14 04:06:19.338,2.0,SG>00,0,14
8d0daef4bf5b56,5,54606,252458,2016-06-14 04:06:19.338,2.0,SG>00,0,14
8d0daef4bf5b56,5,282674,252458,2016-06-14 04:06:19.338,2.0,SG>00,0,14
7765b4faae4ad4,6,160754,1773517,2016-06-14 04:06:19.395,3.0,US>OH>510,0,14
7765b4faae4ad4,6,175234,1773517,2016-06-14 04:06:19.395,3.0,US>OH>510,1,14
7765b4faae4ad4,6,173388,1773517,2016-06-14 04:06:19.395,3.0,US>OH>510,0,14
7765b4faae4ad4,6,180923,1773517,2016-06-14 04:06:19.395,3.0,US>OH>510,0,14
7765b4faae4ad4,6,85397,1773517,2016-06-14 04:06:19.395,3.0,US>OH>510,0,14
7765b4faae4ad4,6,234445,1773517,2016-06-14 04:06:19.395,3.0,US>OH>510,0,14
2cc3f6457d16da,7,300808,1149661,2016-06-14 04:06:19.602,2.0,US>MT>762,0,14
2cc3f6457d16da,7,215967,1149661,2016-06-14 04:06:19.602,2.0,US>MT>762,0,14
2cc3f6457d16da,7,105766,1149661,2016-06-14 04:06:19.602,2.0,US>MT>762,1,14
166fc654d73c98,8,95724,1330329,2016-06-14 04:06:19.638,2.0,US>PA>566,0,14
166fc654d73c98,8,175694,1330329,2016-06-14 04:06:19.638,2.0,US>PA>566,0,14
166fc654d73c98,8,329774,1330329,2016-06-14 04:06:19.638,2.0,US>PA>566,0,14
166fc654d73c98,8,280430,1330329,2016-06-14 04:06:19.638,2.0,US>PA>566,1,14
9dddccf70f6067,9,140940,1772126,2016-06-14 04:06:19.667,1.0,US>FL>528,1,14
9dddccf70f6067,9,19959,1772126,2016-06-14 04:06:19.667,1.0,US>FL>528,0,14
9dddccf70f6067,9,104208,1772126,2016-06-14 04:06:19.667,1.0,US>FL>528,0,14
9dddccf70f6067,9,151028,1772126,2016-06-14 04:06:19.667,1.0,US>FL>528,0,14
b09a0e92aa4d17,10,332908,157455,2016-06-14 04:06:19.693,1.0,US,1,14
b09a0e92aa4d17,10,241662,157455,2016-06-14 04:06:19.693,1.0,US,0,14
602e210c5831e5,11,149541,1773230,2016-06-14 04:06:19.710,3.0,US>IL>675,0,14
602e210c5831e5,11,156477,1773230,2016-06-14 04:06:19.710,3.0,US>IL>675,0,14
602e210c5831e5,11,139059,1773230,2016-06-14 04:06:19.710,3.0,US>IL>675,1,14
602e210c5831e5,11,96116,1773230,2016-06-14 04:06:19.710,3.0,US>IL>675,0,14
602e210c5831e5,11,51955,1773230,2016-06-14 04:06:19.710,3.0,US>IL>675,0,14
602e210c5831e5,11,159431,1773230,2016-06-14 04:06:19.710,3.0,US>IL>675,0,14
6fa993bd0e0157,12,97178,892701,2016-06-14 04:06:19.718,1.0,US>TX>612,1,14
6fa993bd0e0157,12,211592,892701,2016-06-14 04:06:19.718,1.0,US>TX>612,0,14
6fa993bd0e0157,12,75426,892701,2016-06-14 04:06:19.718,1.0,US>TX>612,0,14
6fa993bd0e0157,12,41584,892701,2016-06-14 04:06:19.718,1.0,US>TX>612,0,14
6fa993bd0e0157,12,105789,892701,2016-06-14 04:06:19.718,1.0,US>TX>612,0,14
6fa993bd0e0157,12,35982,892701,2016-06-14 04:06:19.718,1.0,US>TX>612,0,14
7355615832b3af,13,121703,1778533,2016-06-14 04:06:19.739,1.0,US>AZ>753,0,14
7355615832b3af,13,149541,1778533,2016-06-14 04:06:19.739,1.0,US>AZ>753,1,14
7355615832b3af,13,143294,1778533,2016-06-14 04:06:19.739,1.0,US>AZ>753,0,14
daef797fc210a2,14,98270,1759953,2016-06-14 04:06:19.798,3.0,US>NC>560,0,14
daef797fc210a2,14,224171,1759953,2016-06-14 04:06:19.798,3.0,US>NC>560,1,14
daef797fc210a2,14,143467,1759953,2016-06-14 04:06:19.798,3.0,US>NC>560,0,14
daef797fc210a2,14,288396,1759953,2016-06-14 04:06:19.798,3.0,US>NC>560,0,14
24c64dc30891c0,15,153016,1777136,2016-06-14 04:06:20.000,2.0,GB,1,14
24c64dc30891c0,15,52086,1777136,2016-06-14 04:06:20.000,2.0,GB,0,14
